komishinichatti	ኮሚሺኒቸቲ
tokko	ቶኮ
reuters	ሬኡቴርስ
tti	ቲ
himeera	ሂሜረ
akkuma	አኩመ
kana	ከነ
mana	መነ
maree	መሬ
teeksaas	ቴክሳስ
ostin	ኦስቲን
duratti	ዱረቲ
mormitootni	ሞርሚቶትኒ
murasii	ሙረሲ
kaan	ካን
meeshaa	ሜሻ
hidhatanii	ሂዳተኒ
walitti	ወሊቲ
qabamanii	ቀበመኒ
turani	ቱረኒ
roobii	ሮቢ
yeroo	ዬሮ
baayiden	ባይዴን
tiraampiin	ቲራምpኢኢን
bakka	በከ
bu	ቡ
uun	ኡን
aangoo	ኣንጎ
pireezidantummaatti	pኢሬzኢደንቱማቲ
muudamu	ሙደሙ
moormiin	ሞርሚን
jiraachuu	ጂራቹ
mala	መለ
jedhamee	ጄዳሜ
eegama	ኤገመ
dubbii	ዱቢ
himaan	ሂማን
waranaa	ወረና
raayan	ራየን
makaartii	መካርቲ
dilbata	ዲልበተ
miiseensoonni	ሚሴንሶኒ
waraanaa	ወራና
soda	ሶደ
isaan	ኢሳን
keessa	ኬሰ
kan	ከን
hokkora	ሆኮረ
kaasuu	ካሱ
jirachuu	ጂረቹ
mala	መለ
jedhuun	ጄዱን
qoratamuu	ቆረተሙ
isaanii	ኢሳኒ
asoosheetid	አሶሼቲድ
pireesitti	pኢሬሲቲ
himeera	ሂሜረ
akkasumas	አከሱመስ
dilbata	ዲልበተ
niiw	ኒው
meeksikoo	ሜክሲኮ
keessatti	ኬሰቲ
qondaalli	ቆንዳሊ
mootummaa	ሞቱማ
tokko	ቶኮ
hokkoraa	ሆኮራ
amajjii	አመጂ
waashingitaniin	ዋሺንጊተኒን
wal	ወል
qabate	ቀበቴ
to	ቶ
annoo	አኖ
jala	ጀለ
ooleera	ኦኦሌረ
baayden	ባይዴን
aangoo	ኣንጎ
fudhatee	ፉዳቴ
guyyaa	ግያ
jalqabaa	ጀልቀባ
irratti	ኢረቲ
dhorkii	ድኦርኪኢ
imalaa	ኢመላ
tiraamp	ቲራምp
ka	ከ
ee	ኤ
akka	አከ
haqamuu	ሀቀሙ
fi	ፊ
us	ኡስ
waligaltee	ወሊገልቴ
jijjirama	ጂጁረመ
qilleensaa	ቂሌንሳ
paariis	pኣሪስ
keessa	ኬሰ
deebitee	ዴቢቴ
akka	አከ
seentuuf	ሴንቱፍ
ajaja	አጀጀ
ni	ኒ
dabarsa	ደበርሰ
akkasumas	አከሱመስ
maatilee	ማቲሌ
daangaa	ዳንጋ
us	ኡስ
meeksikoo	ሜክሲኮ
irratti	ኢረቲ
gargar	ገርገር
ba	በ
an	አን
deebisanii	ዴቢሰኒ
akka	አከ
wal	ወል
argan	አርገን
akka	አከ
taasisuu	ታሲሱ
fi	ፊ
covid	ጮvኢድ
walqabatee	ወልቀበቴ
maaskii	ማስኪኢ
uffachuu	ኡፈቹ
fi	ፊ
qajeelfamoota	ቀጄልፈሞተ
biroo	ቢሮ
akka	አከ
dabarsu	ደበርሱ
ni	ኒ
eegama	ኤገመ
gaartuun	ጋርቱን
baayden	ባይዴን
sababa	ሰበበ
weerara	ዌረረ
covid	ጮvኢድ
tti	ቲ
jecha	ጄቸ
muudama	ሙደመ
pireezidaantiif	pኢሬzኢዳንቲፍ
gara	ገረ
magaalaa	መጋላ
gudduttiitti	ግዱቲቲ
akka	አከ
hin	ሂን
imalleef	ኢመሌፍ
lammilee	ለሚሌ
ameerikaa	አሜሪካ
gaafataniiru	ጋፈተኒሩ
qoondaaltonnis	ቆንዳልቶኒስ
sagantichaa	ሰገንቲቻ
lammileeen	ለሚሌኤን
manuma	መኑመ
isaaniitti	ኢሳኒቲ
akka	አከ
daawwataniif	ዳወተኒፍ
gaafataniiru	ጋፈተኒሩ
haaliimaan	ሃሊማን
shamarree	ሸመሬ
ganna	ገነ
yoo	ዮ
taatu	ታቱ
ameerikaa	አሜሪካ
mennisootaa	ሜኒሶታ
seent	ሴንት
kilaawud	ኪላዉድ
keessa	ኬሰ
jiraatti	ጂራቲ
lammiilee	ለሚሌ
somaalii	ሶማሊ
biroo	ቢሮ
waliin	ወሊን
guddattee	ግደቴ
amma	አመ
uffata	ኡፈተ
idile	ኢዲሌ
uffatti	ኡፈቲ
meekaappii	ሜካppኢኢ
hin	ሂን
godhatu	ጎዳቱ
sareeshee	ሰሬሼ
kookoo	ኮኮ
jedhamtu	ጄዳምቱ
waliin	ወሊን
gammachuun	ገመቹን
jiraatti	ጂራቲ
ani	አኒ
haalimaa	ሃሊማ
buufata	ቡፈተ
baqattootaa	በቀቶታ
keeniyaa	ኬኒያ
keesssaa	ኬስሳ
kaakumaa	ካኩማ
irraayi	ኢራይ
jechuun	ጄቹን
achitti	አቺቲ
dhalachuushee	ዳለቹሼ
himatti	ሂመቲ
namoonni	ነሞኒ
kaan	ካን
dubartii	ዱበርቲ
hijaaba	ሂጃበ
uffachuun	ኡፈቹን
barruulee	በሩሌ
faashinii	ፋሺኒ
vogue	vኦግኤ
jedhamu	ጄዳሙ
irratti	ኢረቲ
baate	ባቴ
jedhuun	ጄዱን
waamu	ዋሙ
isheen	ኢሼን
garuu	ገሩ
baatii	ባቲ
lama	ለመ
dura	ዱረ
kana	ከነ
hunda	ሁንደ
duubatti	ዱበቲ
dhiisteetti	ዲስቴቲ
sababii	ሰበቢ
hojichi	ሆጂቺ
amantiiishee	አመንቲኢሼ
waliin	ወሊን
walii	ወሊ
hin	ሂን
taanef	ታኔፍ
akka	አከ
shamarree	ሸመሬ
hijaaba	ሂጃበ
uffattu	ኡፈቱ
tokkootti	ቶኮቲ
haaliimaan	ሃሊማን
uffatashee	ኡፈተሼ
of	ኦፍ
eeggannoon	ኤገኖን
filatti	ፊለቲ
ture	ቱሬ
yeroo	ዬሮ
hojii	ሆጂ
kana	ከነ
jalqabde	ጀልቀብዴ
hijaabaafi	ሂጃባፊ
qoloo	ቆሎ
dhedheeraa	ዴዴራ
mataashee	መታሼ
shaanxaatti	ሻንጣቲ
naqattee	ነቀቴ
deemti	ዴምቲ
ture	ቱሬ
akkamillee	አከሚሌ
haa	ሃ
uffattu	ኡፈቱ
iddoo	ኢዶ
hundumaatti	ሁንዱማቲ
hijaabashee	ሂጃበሼ
keewwachuun	ኬወቹን
waan	ዋን
mariif	መሪፍ
dhiyeessitu	ዲዬሲቱ
hin	ሂን
turre	ቱሬ
bara	በረ
dhaabbata	ዳበተ
moodeeliingii	ሞዴሊንጊ
addunyaa	አዱኛ
guddicha	ግዲቸ
img	ኢምግ
jedhamuuf	ጄዳሙፍ
yoo	ዮ
mallatteessitu	መላቴሲቱ
hijaaba	ሂጃበ
ishee	ኢሼ
akka	አከ
hin	ሂን
kaasneefi	ካስኔፊ
hijaabishee	ሂጃቢሼ
isheef	ኢሼፍ
waan	ዋን
hunda	ሁንደ
akka	አከ
tahe	ተሄ
waliigaltee	ወሊገልቴ
keessa	ኬሰ
dabaalchiiftee	ደባልቺፍቴ
turte	ቱርቴ
dubartoonni	ዱበርቶኒ
waliigaltee	ወሊገልቴ
hojii	ሆጂ
moodeeliingii	ሞዴሊንጊ
argachuu	አርገቹ
fedhan	ፌዳን
baayyeen	ባይን
akka	አከ
jiran	ጂረን
nan	ነን
beeka	ቤከ
garuu	ገሩ
ani	አኒ
garuu	ገሩ
yoo	ዮ
didan	ዲደን
itti	ኢቲ
dhiisuuf	ዲሱፍ
qophii	ቆጲ
ture	ቱሬ
jetti	ጄቲ
boodarra	ቦደረ
jetti	ጄቲ
haalimaan	ሃሊማን
haala	ሃለ
gareen	ገሬን
modeeliingii	ሞዴሊንጊ
kan	ከን
ishee	ኢሼ
hojjechiisu	ሆጄቺሱ
hijaaba	ሂጃበ
ishee	ኢሼ
haala	ሃለ
fedhaniin	ፌዳኒን
akka	አከ
qixeessan	ቂጤኤሰን
eeyyamte	ኤየምቴ
waggaa	ወጋ
dhuma	ዱመ
bara	በረ
hojiishee	ሆጂሼ
keessatti	ኬሰቲ
hijaabnishee	ሂጃብኒሼ
xiqqaachaa	ጢቃቻ
fi	ፊ
takkaa	ተካ
takkaa	ተካ
mormaafi	ሞርማፊ
qomasheerratti	ቆመሼረቲ
akka	አከ
xiyyeefatamutti	ጢይፈተሙቲ
uffanni	ኡፈኒ
qophaa	ቆጳ
uufii	ኡፊ
jalqabe	ጀልቀቤ
yeroo	ዬሮ
kaan	ካን
immoo	ኢሞ
hijaabarra	ሂጃበረ
jiinsiifi	ጂንሲፊ
huccuu	ሁጩ
biraa	ቢራ
mataatti	መታቲ
akka	አከ
marattu	መረቱ
taasifame	ታሲፈሜ
waliigaltee	ወሊገልቴ
haaliimaa	ሃሊማ
keessaa	ኬሳ
inni	ኢኒ
tokko	ቶኮ
iddoo	ኢዶ
addaa	አዳ
fi	ፊ
dhuunfaa	ዱንፋ
wayyaa	ወያ
itti	ኢቲ
geeddartu	ጌደርቱ
qabaachuu	ቀባቹ
dha	ዳ
garuu	ገሩ
dubartoonni	ዱበርቶኒ
hijaaba	ሂጃበ
uffatanii	ኡፈተኒ
indastirii	ኢንደስቲሪ
kanatti	ከነቲ
seenaa	ሴና
jiran	ጂረን
kabaja	ከበጀ
wal	ወል
fakkaataa	ፈካታ
argachaa	አርገቻ
akka	አከ
hin	ሂን
jirre	ጂሬ
hubatte	ሁበቴ
wayyaa	ወያ
isaanii	ኢሳኒ
jijjiirrachuuf	ጂጂረቹፍ
mana	መነ
fincaanii	ፊንጫኒ
fa	ፈ
i	ኢ
akka	አከ
fayyadaman	ፈየደመን
gaafatamu	ጋፈተሙ
jette	ጄቴ
kuni	ኩኒ
waan	ዋን
na	ነ
yaaddesseef	ያዴሴፍ
shamarreen	ሸመሬን
kunneen	ኩኔን
faana	ፋነ
koo	ኮ
hordofaa	ሆርዶፋ
jiru	ጂሩ
animmoo	አኒሞ
qileettin	ቂሌቲን
isaan	ኢሳን
na	ነ
naqaa	ነቃ
jira	ጂረ
jetti	ጄቲ
haalimaan	ሃሊማን
yeroo	ዬሮ
jalqabaaf	ጀልቀባፍ
hijaaba	ሂጃበ
uffachuun	ኡፈቹን
mana	መነ
barnootaa	በርኖታ
sadarkaa	ሰደርካ
lammataatti	ለመታቲ
giiftii	ጊፍቲ
jedhamuun	ጄዳሙን
kabajni	ከበጅኒ
kennameefi	ኬነሜፊ
ture	ቱሬ
haatishee	ሃቲሼ
barumsasheen	በሩምሰሼን
akka	አከ
jabaattu	ጀባቱ
barbaaddu	በርባዱ
dhimma	ዲመ
kana	ከነ
akka	አከ
hin	ሂን
fudhanne	ፉዳኔ
beekti	ቤክቲ
ture	ቱሬ
akkuma	አኩመ
haalimaan	ሃሊማን
yaadde	ያዴ
gonfoo	ጎንፎ
haalimaan	ሃሊማን
mana	መነ
barumsicharraa	በሩምሲቸራ
kabajaan	ከበጃን
argatte	አርገቴ
jalaa	ጀላ
cabsite	ጨብሲቴ
akka	አከ
malee	መሌ
hiriyyootaa	ሂሪዮታ
fi	ፊ
bareedina	በሬዲነ
irratti	ኢረቲ
xiyyeeffannoo	ጢይፈኖ
kennaa	ኬና
jirta	ጂርተ
naan	ናን
jette	ጄቴ
jetti	ጄቲ
haa	ሃ
tahu	ተሁ
malee	መሌ
haalimaan	ሃሊማን
ammas	አመስ
miss	ሚስ
minnesota	ሚኔሶተ
usa	ኡሰ
irratti	ኢረቲ
hirmaatte	ሂርማቴ
dorgomtoota	ዶርጎምቶተ
turan	ቱረን
keessaa	ኬሳ
hijaaba	ሂጃበ
uffattee	ኡፈቴ
gara	ገረ
warra	ወረ
dhumaatti	ዱማቲ
kan	ከን
makame	መከሜ
ishee	ኢሼ
qofa	ቆፈ
ture	ቱሬ
haalimaan	ሃሊማን
otuma	ኦቱመ
haatishee	ሃቲሼ
gaddituu	ገዲቱ
hojii	ሆጂ
kanaan	ከናን
itti	ኢቲ
fuftte	ፉፍቴ
haatishee	ሃቲሼ
hojiin	ሆጂን
kun	ኩን
nama	ነመ
gurraacha	ግራቸ
musliimaa	ሙስሊማ
fi	ፊ
baqataa	በቀታ
tureef	ቱሬፍ
hin	ሂን
tahu	ተሁ
jettee	ጄቴ
amanti	አመንቲ
yeroo	ዬሮ
dorgommii	ዶርጎሚ
moodeeliingii	ሞዴሊንጊ
gurguddoo	ግርግዶ
yeezy	ዬzይ
fi	ፊ
max	መጥ
mara	መረ
jedhaman	ጄዳመን
irrattillee	ኢረቲሌ
yeroo	ዬሮ
hirmaattuu	ሂርማቱ
fi	ፊ
murteessituu	ሙርቴሲቱ
miss	ሚስ
usa	ኡሰ
yoo	ዮ
taatu	ታቱ
haatishee	ሃቲሼ
hojii	ሆጂ
roga	ሮገ
qabu	ቀቡ
akka	አከ
argattu	አርገቱ
ishee	ኢሼ
gaafatti	ጋፈቲ
ture	ቱሬ
hojiin	ሆጂን
namoomaa	ነሞማ
haaliimaan	ሃሊማን
moodeelingii	ሞዴሊንጊ
waliin	ወሊን
hojjettu	ሆጄቱ
haadhashee	ሃዳሼ
amansiise	አመንሲሴ
jireenya	ጂሬኘ
fooyya	ፎየ
aa	ኣ
argachuuf	አርገቹፍ
jecha	ጄቸ
akka	አከ
nama	ነመ
somaaliyaarraa	ሶማሊያራ
gara	ገረ
keeniyaa	ኬኒያ
guyyaa	ግያ
kudha	ኩዳ
lama	ለመ
baqateetti	በቀቴቲ
gatii	ገቲ
namoota	ነሞተ
biroo	ቢሮ
gargaaruu	ገርጋሩ
beekti	ቤክቲ
moodeeliingii	ሞዴሊንጊ
hojjechuun	ሆጄቹን
deebistee	ዴቢስቴ
waan	ዋን
warra	ወረ
kaaniif	ካኒፍ
kennitu	ኬኒቱ
hin	ሂን
qabdu	ቀብዱ
taanaan	ታናን
hojjechuu	ሆጄቹ
hin	ሂን
qabdu	ቀብዱ
jettiin	ጄቲን
yeroon	ዬሮን
jalqaba	ጀልቀበ
img	ኢምግ
waliin	ወሊን
wal	ወል
arge	አርጌ
unicef	ኡኒጬፍ
waliin	ወሊን
akka	አከ
na	ነ
quunnamsiisun	ቁነምሲሱን
gaafadheen	ጋፈዴን
jetti	ጄቲ
haalimaan	ሃሊማን
haaliimaan	ሃሊማን
hojiishee	ሆጂሼ
gama	ገመ
moodeeliingiin	ሞዴሊንጊን
jiruun	ጂሩን
akka	አከ
barbaaddu	በርባዱ
shakkaa	ሸካ
dhufte	ዱፍቴ
akkuma	አኩመ
barbaadamuunshee	በርባደሙንሼ
dabalaa	ደበላ
dhufeen	ዱፌን
maatii	ማቲ
waliin	ወሊን
yeroo	ዬሮ
gabaabaa	ገባባ
dabarsiti	ደበርሲቲ
ture	ቱሬ
gaafa	ጋፈ
ayyaana	አያነ
musliimaas	ሙስሊማስ
hin	ሂን
argamtu	አርገምቱ
ture	ቱሬ
fulbaana	ፉልባነ
baruullee	በሩሌ
kiing	ኪኢንግ
koong	ኮንግ
jedhamurratti	ጄዳሙረቲ
fuulasheerratti	ፉለሼረቲ
kuula	ኩለ
ijaa	ኢጃ
diimaa	ዲማ
calaqqisaa	ጨለቂሳ
fi	ፊ
magariisafi	መገሪሰፊ
faaya	ፋየ
xixqqoo	ጢጥቆ
keewwatteeti	ኬወቴቲ
kan	ከን
suuraanshee	ሱራንሼ
bahe	በሄ
kuulli	ኩሊ
fuulashee	ፉለሼ
haguuge	ሀጉጌ
kun	ኩን
funyaansheefi	ፉኛንሼፊ
afaansheen	አፋንሼን
alatti	አለቲ
waan	ዋን
biraa	ቢራ
hin	ሂን
mul	ሙል
isu	ኢሱ
akkaataa	አካታ
fi	ፊ
kuulli	ኩሊ
keewwadhee	ኬወዴ
baayyee	ባይ
jibbisiisa	ጂቢሲሰ
ture	ቱሬ
tasuma	ተሱመ
nama	ነመ
biraan	ቢራን
fakkaadha	ፈካዳ
ture	ቱሬ
jetti	ጄቲ
waanti	ዋንቲ
jibbisiisaan	ጂቢሲሳን
dabalameef	ደበለሜፍ
immoo	ኢሞ
maxxansa	መጠንሰ
baruulichaa	በሩሊቻ
irratti	ኢረቲ
suuraan	ሱራን
dhiiraa	ዲራ
qullaa	ቁላ
agarsiisu	አገርሲሱ
waliin	ወሊን
maxxanfamee	መጠንፈሜ
ture	ቱሬ
baruulleen	በሩሌን
sun	ሱን
shamarree	ሸመሬ
hijaaba	ሂጃበ
uffattuufi	ኡፈቱፊ
musliima	ሙስሊመ
taate	ታቴ
fuula	ፉለ
jalqabaarra	ጀልቀባረ
kaa	ካ
ee	ኤ
fuula	ፉለ
lammataarra	ለመታረ
nama	ነመ
qullaa	ቁላ
tahe	ተሄ
kaa	ካ
uu	ኡ
maaliif	ማሊፍ
barbaade	በርባዴ
jechuun	ጄቹን
gaafatti	ጋፈቲ
waan	ዋን
itti	ኢቲ
amantu	አመንቱ
hunda	ሁንደ
jalaa	ጀላ
faallesse	ፋሌሴ
baruulleen	በሩሌን
kiing	ኪኢንግ
koong	ኮንግ
jedhamu	ጄዳሙ
artistootaa	አርቲስቶታ
fi	ፊ
warreen	ወሬን
suuraa	ሱራ
nuu	ኑ
kaasan	ካሰን
akkaataa	አካታ
isaan	ኢሳን
of	ኦፍ
ibsan	ኢብሰን
tokkoof	ቶኮፍ
hawwataa	ሀወታ
gaafa	ጋፈ
tahu	ተሁ
kaanimmoo	ካኒሞ
aarsuu	ኣርሱ
mala	መለ
garuu	ገሩ
seenaawwan	ሴናወን
isaan	ኢሳን
fidan	ፊደን
modeelii	ሞዴሊ
fi	ፊ
dhimma	ዲመ
irratti	ኢረቲ
haasa	ሃሰ
aniif	አኒፍ
kabaja	ከበጀ
kenna	ኬነ
haalimaan	ሃሊማን
hojii	ሆጂ
nu	ኑ
faana	ፋነ
hojjettetti	ሆጄቴቲ
gaabbuusheetti	ጋቡሼቲ
ni	ኒ
gaddina	ገዲነ
seenaawwan	ሴናወን
achirra	አቺረ
turan	ቱረን
tariisheen	ተሪሼን
akka	አከ
dhuunfaatti	ዱንፋቲ
hin	ሂን
jaalattu	ጃለቱ
taha	ተሀ
garuu	ገሩ
ishee	ኢሼ
waliin	ወሊን
waan	ዋን
wal	ወል
qabatu	ቀበቱ
miti	ሚቲ
jedheera	ጄዴረ
suuraashee	ሱራሼ
qola	ቆለ
baruullee	በሩሌ
irratti	ኢረቲ
buufataalee	ቡፈታሌ
xiyyaaraatti	ጢያራቲ
yoo	ዮ
argitu	አርጊቱ
ofillee	ኦፊሌ
baruu	በሩ
akka	አከ
dadhabde	ደዳብዴ
himti	ሂምቲ
of	ኦፍ
arguu	አርጉ
waan	ዋን
hin	ሂን
dandeenyeef	ደንዴኜፍ
gammachuu	ገመቹ
tokkollee	ቶኮሌ
hin	ሂን
qabun	ቀቡን
ture	ቱሬ
of	ኦፍ
tahuu	ተሁ
dhabuun	ዳቡን
akkam	አከም
akka	አከ
miidhu	ሚዱ
beektaa	ቤክታ
ani	አኒ
suuraarra	ሱራረ
yoon	ዮን
bahu	በሁ
of	ኦፍ
arguun	አርጉን
qaba	ቀበ
garuu	ገሩ
hin	ሂን
jirun	ጂሩን
ture	ቱሬ
jetti	ጄቲ
hojiin	ሆጂን
koo	ኮ
furguggifamaa	ፉርግጊፈማ
waan	ዋን
jiru	ጂሩ
fakkaata	ፈካተ
ani	አኒ
garuu	ገሩ
gammadduu	ገመዱ
hin	ሂን
turre	ቱሬ
jetti	ጄቲ
kanamalees	ከነመሌስ
seerri	ሴሪ
isheen	ኢሼን
dhimma	ዲመ
hijaabasheerratti	ሂጃበሼረቲ
keesse	ኬሴ
cabuu	ጨቡ
jalqabuufi	ጀልቀቡፊ
akkatti	አከቲ
dubartoonni	ዱበርቶኒ
hijaaba	ሂጃበ
uffatan	ኡፈተን
biroo	ቢሮ
ilaalaman	ኢላለመን
ishee	ኢሼ
aarsuu	ኣርሱ
jalqabe	ጀልቀቤ
yeroo	ዬሮ
weerarri	ዌረሪ
koronaavaayrasii	ኮሮናvኣይረሲ
jalqabee	ጀልቀቤ
indaastiriin	ኢንዳስቲሪን
faashinii	ፋሺኒ
dhaabbachuu	ዳበቹ
eegale	ኤገሌ
isheenis	ኢሼኒስ
mana	መነ
turuun	ቱሩን
maatiishee	ማቲሼ
waliin	ወሊን
walitti	ወሊቲ
dhiyaachuu	ዲያቹ
jalqabde	ጀልቀብዴ
mana	መነ
turuufi	ቱሩፊ
maatii	ማቲ
waliin	ወሊን
akka	አከ
durii	ዱሪ
tahuun	ተሁን
bara	በረ
akkamiin	አከሚን
taha	ተሀ
kan	ከን
jedhu	ጄዱ
na	ነ
yaaddeessuu	ያዴሱ
jalqabe	ጀልቀቤ
kuni	ኩኒ
hundi	ሁንዲ
waliitii	ወሊቲ
ida	ኢደ
amee	አሜ
baatii	ባቲ
lama	ለመ
dura	ዱረ
maaliif	ማሊፍ
hojiishe	ሆጂሼ
moodeeliingii	ሞዴሊንጊ
fi	ፊ
unicef	ኡኒጬፍ
waliin	ወሊን
hojjettu	ሆጄቱ
akka	አከ
akka	አከ
dhiiste	ዲስቴ
ibsa	ኢብሰ
haatishees	ሃቲሼስ
kadhaannaan	ከዳናን
isaanii	ኢሳኒ
akka	አከ
deebi	ዴቢ
eefi	ኤፊ
yaadu	ያዱ
jetti	ጄቲ
haalimaan	ሃሊማን
fiilmii	ፊልሚ
seenaa	ሴና
baqannaa	በቀና
waraana	ወራነ
afgaanistaan	አፍጋኒስታን
hojjettee	ሆጄቴ
xumurteetti	ጡሙርቴቲ
fiilmiin	ፊልሚን
i	ኢ
am	አም
you	ዮኡ
jedhu	ጄዱ
tv	ትv
apple	አppሌ
irratti	ኢረቲ
bitootessa	ቢቶቴሰ
keessa	ኬሰ
ni	ኒ
gadhiifama	ገዲፈመ
jedhamee	ጄዳሜ
yaadama	ያደመ
unicef	ኡኒጬፍ
irraa	ኢራ
waan	ዋን
gadhiisteef	ገዲስቴፍ
hojii	ሆጂ
tola	ቶለ
ooltummaa	ኦኦልቱማ
akka	አከ
hin	ሂን
dhaabne	ዳብኔ
himteetti	ሂምቴቲ
addunyaan	አዱኛን
beekamtuu	ቤከምቱ
taheen	ተሄን
miti	ሚቲ
kan	ከን
na	ነ
barbaadu	በርባዱ
haalimaa	ሃሊማ
ishee	ኢሼ
kaakumaa	ካኩማ
irraa	ኢራ
baateefi	ባቴፊ
hawaasaa	ሀዋሳ
isheef	ኢሼፍ
gatii	ገቲ
kennitu	ኬኒቱ
barbaada	በርባደ
jetti	ጄቲ
amma	አመ
garuu	ገሩ
hundumaa	ሁንዱማ
dura	ዱረ
boqonnaan	ቦቆናን
akka	አከ
ishee	ኢሼ
barbaachisuufi	በርባቺሱፊ
fayyaa	ፈያ
sammuushee	ሰሙሼ
eeggachuu	ኤገቹ
akka	አከ
qabdu	ቀብዱ
amanti	አመንቲ
namni	ነምኒ
lubbuu	ሉቡ
baase	ባሴ
suni	ሱኒ
yookan	ዮከን
gosti	ጎስቲ
isaa	ኢሳ
yeroo	ዬሮ
gumaa	ግማ
baasuuf	ባሱፍ
jedhu	ጄዱ
birrii	ቢሪኢ
gumaadhaaf	ግማዳፍ
barbaachisu	በርባቺሱ
qabeenya	ቀቤኘ
isaatirraa	ኢሳቲራ
baasee	ባሴ
miti	ሚቲ
kan	ከን
kanfalu	ከንፈሉ
namni	ነምኒ
lubbuu	ሉቡ
baase	ባሴ
suni	ሱኒ
qabeenya	ቀቤኘ
waan	ዋን
qabuuf	ቀቡፍ
gumaa	ግማ
manasaatii	መነሳቲ
hin	ሂን
kanfalu	ከንፈሉ
cancala	ጨንጨለ
harkatti	ሀርከቲ
hidhatee	ሂዳቴ
lubbuu	ሉቡ
namaatu	ነማቱ
na	ነ
harkatti	ሀርከቲ
bade	በዴ
gumaan	ግማን
baasaa	ባሳ
nagargaaraa	ነገርጋራ
jedhee	ጄዴ
gabaa	ገባ
sagalirratti	ሰገሊረቲ
kadhata	ከዳተ
jedhan	ጄዳን
obbo	ኦብቦ
mokonnin	ሞኮኒን
hanga	ሀንገ
gumaan	ግማን
bahutti	በሁቲ
gosti	ጎስቲ
gartuu	ገርቱ
lamaanii	ለማኒ
karaa	ከራ
tokkorra	ቶኮረ
hin	ሂን
deeman	ዴመን
fuulaa	ፉላ
fuulatti	ፉለቲ
wal	ወል
hin	ሂን
argan	አርገን
gabaa	ገባ
tokkos	ቶኮስ
hin	ሂን
deemani	ዴመኒ
gabaa	ገባ
namni	ነምኒ
gumaa	ግማ
baasu	ባሱ
irraa	ኢራ
kadhatu	ከዳቱ
sanatti	ሰነቲ
akka	አከ
wal	ወል
hin	ሂን
argineefis	አርጊኔፊስ
gabaa	ገባ
kamitti	ከሚቲ
akka	አከ
kadhachuu	ከዳቹ
qabu	ቀቡ
jaarsotatu	ጃርሶተቱ
murteessa	ሙርቴሰ
gosa	ጎሰ
namni	ነምኒ
jalaa	ጀላ
du	ዱ
e	ኤ
sunis	ሱኒስ
gabaa	ገባ
sana	ሰነ
akka	አከ
hin	ሂን
deemnetu	ዴምኔቱ
itti	ኢቲ
himama	ሂመመ
birrii	ቢሪኢ
gabaa	ገባ
sagalirraa	ሰገሊራ
kadhatame	ከዳተሜ
kanaan	ከናን
birrii	ቢሪኢ
gumaaf	ግማፍ
kanfalamuu	ከንፈለሙ
fi	ፊ
hoolaa	ሆላ
faloo	ፈሎ
ittiin	ኢቲን
bitu	ቢቱ
gaafa	ጋፈ
gumaan	ግማን
bahu	በሁ
sana	ሰነ
gosti	ጎስቲ
nama	ነመ
nama	ነመ
ajjeese	አጄሴ
sanii	ሰኒ
hoolaa	ሆላ
faloo	ፈሎ
fi	ፊ
birrii	ቢሪኢ
gumaa	ግማ
qabatee	ቀበቴ
dhufa	ዱፈ
hoolaa	ሆላ
sana	ሰነ
qalanii	ቀለኒ
namni	ነምኒ
nama	ነመ
ajjeese	አጄሴ
sunii	ሱኒ
fi	ፊ
warri	ወሪ
namni	ነምኒ
jalaa	ጀላ
du	ዱ
e	ኤ
suni	ሱኒ
harka	ሀርከ
bitaa	ቢታ
mar	መር
imaan	ኢማን
hoolaa	ሆላ
san	ሰን
keessa	ኬሰ
dabarsanii	ደበርሰኒ
harka	ሀርከ
walqabatu	ወልቀበቱ
jedhan	ጄዳን
erga	ኤርገ
gumaan	ግማን
bahee	በሄ
araaramanii	አራረመኒ
haaloo	ሃሎ
walitti	ወሊቲ
hin	ሂን
qabatan	ቀበተን
hamaa	ሀማ
walitti	ወሊቲ
hin	ሂን
yaadan	ያደን
dhoksaadhaan	ድኦክሳዳን
nama	ነመ
walitti	ወሊቲ
hin	ሂን
bitan	ቢተን
jechuudha	ጄቹዳ
waadaan	ዋዳን
gartuu	ገርቱ
lamaanii	ለማኒ
akka	አከ
hin	ሂን
diigamneefis	ዲገምኔፊስ
jaarsoliin	ጃርሶሊን
tumaa	ቱማ
tumu	ቱሙ
uffanni	ኡፈኒ
aadaa	ኣዳ
oromoo	ኦሮሞ
eessaa	ኤሳ
garamitti	ገረሚቲ
odaan	ኦዳን
oromoo	ኦሮሞ
biratti	ቢረቲ
hiika	ሂከ
maalii	ማሊ
qaba	ቀበ
yoo	ዮ
waan	ዋን
tumame	ቱመሜ
kana	ከነ
dabartan	ደበርተን
rasaasni	ረሳስኒ
keessan	ኬሰን
dhahee	ዳሄ
hin	ሂን
ajjeesu	አጄሱ
boombii	ቦምቢ
yoo	ዮ
darbattan	ደርበተን
dhukkee	ዱኬ
taha	ተሀ
yoo	ዮ
dhalchitan	ዳልቺተን
hin	ሂን
guddatu	ግደቱ
yoo	ዮ
facaastan	ፈጫስተን
isiniif	ኢሲኒፍ
hin	ሂን
margu	መርግ
horiin	ሆሪን
dhale	ዳሌ
dil	ዲል
uu	ኡ
hin	ሂን
buusu	ቡሱ
jedhanii	ጄዳኒ
waadaa	ዋዳ
itti	ኢቲ
tumu	ቱሙ
jedhan	ጄዳን
